root,type,domain,rank_I,rank_II,rank_III,rank_IV,rank_V,rank_VI,rank_VII,rank_VIII,rank_IX,rank_X,rank_XI
root,Main genome,Eukaryota,SAR,Alveolata,Apicomplexa,Gregarinomorphea,Eugregarinorida,Lecudinidae,Lecudina,Lecudina_unclassified,Lecudina_unclassified,Lecudina_unclassified,Lecudina_unclassified
root,Main genome,Eukaryota,Hacrobia,Cryptophyta kingdom incertae sedis,Cryptophyta,Cryptophyceae,Cryptophyceae X,Cryptophyceae X_unclassified,Cryptophyceae X_unclassified,Cryptophyceae X_unclassified,Cryptophyceae X_unclassified,Cryptophyceae X_unclassified,Cryptophyceae X_unclassified
root,Main genome,Eukaryota,Amorphea,Amoebozoa,Lobosa,Tubulinea,Euamoebida,Hartmannellidae,Hartmannellidae_unclassified,Hartmannellidae_unclassified,Hartmannellidae_unclassified,Hartmannellidae_unclassified,Hartmannellidae_unclassified
root,Main genome,Eukaryota,Amorphea,Metazoa,Platyhelminthes,Rhabditophora,Rhabdocoela,Trigonostomidae,Proxenetes,Proxenetes_unclassified,Proxenetes_unclassified,Proxenetes_unclassified,Proxenetes_unclassified
root,Main genome,Eukaryota,SAR,Alveolata,Apicomplexa,Gregarinomorphea,Eugregarinorida,Eugregarinorida_unclassified,Eugregarinorida_unclassified,Eugregarinorida_unclassified,Eugregarinorida_unclassified,Eugregarinorida_unclassified,Eugregarinorida_unclassified
root,Main genome,Eukaryota,SAR,Alveolata,Apicomplexa,Gregarinomorphea,Eugregarinorida,Lecudinidae,Lecudina,Lecudina tuzetae,Lecudina tuzetae_unclassified,Lecudina tuzetae_unclassified,Lecudina tuzetae_unclassified
root,Main genome,Eukaryota,SAR,Alveolata,Ciliophora,Ciliophora_unclassified,Ciliophora_unclassified,Ciliophora_unclassified,Ciliophora_unclassified,Ciliophora_unclassified,Ciliophora_unclassified,Ciliophora_unclassified,Ciliophora_unclassified
root,Main genome,Eukaryota,Excavata,Discoba,Euglenida,Petalomonadales class incertae sedis,Petalomonadales,Petalomonadales_unclassified,Petalomonadales_unclassified,Petalomonadales_unclassified,Petalomonadales_unclassified,Petalomonadales_unclassified,Petalomonadales_unclassified
root,Main genome,Eukaryota,SAR,Alveolata,Ciliophora,Spirotrichea,Euplotia,Euplotidae,Euplotes,Euplotes cristatus,Euplotes cristatus_unclassified,Euplotes cristatus_unclassified,Euplotes cristatus_unclassified
root,Main genome,Eukaryota,Amorphea,Amoebozoa,Lobosa,Tubulinea,Leptomyxida,Flabellulidae,Flabellulidae_unclassified,Flabellulidae_unclassified,Flabellulidae_unclassified,Flabellulidae_unclassified,Flabellulidae_unclassified
