Sample_ID,Sample_type,Site,Sample_date,Extraction_date,Julian_day,Month,Season,Depth,Latitude,Longitude,Shoot_Length,Leaf_Width,No_Leaves,Dataset,Dataset_short,Dislodgment_method,Area,Country,Sample_name_16S,Sample_name_18S,E,N,NE,NW,S,SE,SW,W,Sheltered.Index,Sea.Surface.Temperature,Orbital_Velocity_Mean,Orbital_Velocity_Max,Salinity,Bathymetry,LibrarySize_18S,Richness_18S,Shannon_18S,DNA_Concentration
K_RQ4_SGO_t1_3,old_leaf,Kiel,2021-07-07,16.12.2021,188,July,Summer,NA,54.349,10.15,21.5,4,7,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-A05-SeaStore-Seq01-2022-K-RQ4-SGO-t1-3,1183F-1443R-P01-A05-SeaStore-Seq01-2022-K-RQ4-SGO-t1-3,0.924960071,0.8810951465,0.3596256018,0.9982019981,0.9887990946,0.9722177475,1,1,8,NA,7.25E-07,5.41E-05,14.44174767,-3.64,85561,4,0.03564067021,64
K_D_SGO_t0_2,old_leaf,Kiel,2021-05-31,25.11.2021,151,May,Spring,NA,54.346,10.154,17,3,4,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-B01-SeaStore-Seq01-2022-K-D-SGO-t0-2,1183F-1443R-P01-B01-SeaStore-Seq01-2022-K-D-SGO-t0-2,0.9486099468,0.8552587941,0.373863805,0.9949431349,0.9852850089,0.9802549501,0.9990751514,1,8,NA,8.01E-06,3.82E-04,17.3962841,-3.64,54938,12,0.6412777466,11.7
K_RQ3_SGO_t1_2,old_leaf,Kiel,2021-07-07,28.07.2021,188,July,Summer,NA,54.349,10.15,9.2,2,3,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-B04-SeaStore-Seq01-2022-K-RQ3-SGO-t1-2,1183F-1443R-P01-B04-SeaStore-Seq01-2022-K-RQ3-SGO-t1-2,0.924960071,0.8810951465,0.3596256018,0.9982019981,0.9887990946,0.9722177475,1,1,8,NA,7.25E-07,5.41E-05,14.44174767,-3.64,7977,23,1.598822386,0.645
K_D_SGO_t0_3,old_leaf,Kiel,2021-05-31,01.12.2021,151,May,Spring,NA,54.346,10.154,18.6,4,4,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-C01-SeaStore-Seq01-2022-K-D-SGO-t0-3,1183F-1443R-P01-C01-SeaStore-Seq01-2022-K-D-SGO-t0-3,0.9486099468,0.8552587941,0.373863805,0.9949431349,0.9852850089,0.9802549501,0.9990751514,1,8,NA,8.01E-06,3.82E-04,17.3962841,-3.64,50322,13,0.4500783228,22
K_RQ2_SGO_t1_1,old_leaf,Kiel,2021-07-07,25.11.2021,188,July,Summer,NA,54.349,10.15,14.4,2.5,4,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-C03-SeaStore-Seq01-2022-K-RQ2-SGO-t1-1,1183F-1443R-P01-C03-SeaStore-Seq01-2022-K-RQ2-SGO-t1-1,0.924960071,0.8810951465,0.3596256018,0.9982019981,0.9887990946,0.9722177475,1,1,8,NA,7.25E-07,5.41E-05,14.44174767,-3.64,47751,12,0.2470738691,6.84
K_RQ3_SGO_t1_3,old_leaf,Kiel,2021-07-07,16.12.2021,188,July,Summer,NA,54.349,10.15,19.5,4,4,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-C04-SeaStore-Seq01-2022-K-RQ3-SGO-t1-3,1183F-1443R-P01-C04-SeaStore-Seq01-2022-K-RQ3-SGO-t1-3,0.924960071,0.8810951465,0.3596256018,0.9982019981,0.9887990946,0.9722177475,1,1,8,NA,7.25E-07,5.41E-05,14.44174767,-3.64,42282,6,0.1574020995,47.6
M_RQ4_SGO_t1_1,old_leaf,Maasholm,2021-07-05,28.07.2021,186,July,Summer,NA,54.687,10.007,14.8,2.5,4,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-C06-SeaStore-Seq01-2022-M-RQ4-SGO-t1-1,1183F-1443R-P01-C06-SeaStore-Seq01-2022-M-RQ4-SGO-t1-1,0,0.0208602738,0.001887815768,0.7736870256,0.8239476887,0.07844843815,0.9893686468,0.8583808343,6,19.08343097,Inf,Inf,21.57461166,0,8223,16,1.7417719,2.5
K_RQ2_SGO_t1_2,old_leaf,Kiel,2021-07-07,15.12.2021,188,July,Summer,NA,54.349,10.15,11.5,2,4,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-D03-SeaStore-Seq01-2022-K-RQ2-SGO-t1-2,1183F-1443R-P01-D03-SeaStore-Seq01-2022-K-RQ2-SGO-t1-2,0.924960071,0.8810951465,0.3596256018,0.9982019981,0.9887990946,0.9722177475,1,1,8,NA,7.25E-07,5.41E-05,14.44174767,-3.64,33124,14,1.050104936,3.92
M_RQ4_SGO_t1_2,old_leaf,Maasholm,2021-07-05,06.12.2021,186,July,Summer,NA,54.687,10.007,14.6,3,3,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-D06-SeaStore-Seq01-2022-M-RQ4-SGO-t1-2,1183F-1443R-P01-D06-SeaStore-Seq01-2022-M-RQ4-SGO-t1-2,0,0.0208602738,0.001887815768,0.7736870256,0.8239476887,0.07844843815,0.9893686468,0.8583808343,6,19.08343097,Inf,Inf,21.57461166,0,16752,12,0.5843403682,2.24
K_RQ1_SGO_t1_1,old_leaf,Kiel,2021-07-07,25.11.2021,188,July,Summer,NA,54.349,10.15,20,3,6,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-E02-SeaStore-Seq01-2022-K-RQ1-SGO-t1-1,1183F-1443R-P01-E02-SeaStore-Seq01-2022-K-RQ1-SGO-t1-1,0.924960071,0.8810951465,0.3596256018,0.9982019981,0.9887990946,0.9722177475,1,1,8,NA,7.25E-07,5.41E-05,14.44174767,-3.64,76808,8,0.302008623,13
