Sample_ID,Sample_name_16S,Sample_name_18S,Sample_type,Site,Sample_date,Extraction_date,Julian_day,Month,Season,Depth,Latitude,Longitude,Shoot_Length,Leaf_Width,No_Leaves,Dataset,Dataset_short,Dislodgment_method,Area,Country,Sheltered_Index,Sea_Surface_Temperature,Orbital_Velocity_Mean,Orbital_Velocity_Max,Salinity,Bathymetry,
M_RQ3_SGO_t2_3,515F-806R-P02-A04-SeaStore-Seq02-2022-M-RQ3-SGO-t3-1,1183F-1443R-P02-A04-SeaStore-Seq02-2022-M-RQ3-SGO-t3-1,old_leaf,Maasholm,2021-08-02,10.08.2021,214,August,Summer,NA,54.687,10.007,13.7,2,4,Seastore_Project,SP,leaf_piece,Kiel Bay,Germany,6,20.07280595,0.018783412,0.2279180821,22.44997215,0,
SGO_1_Kos,515F-806R-P02-C04-SeaStore-Seq02-2022-M-RQ3-SGO-t3-3,1183F-1443R-P02-C04-SeaStore-Seq02-2022-M-RQ3-SGO-t3-3,old_leaf,Koster,2021-06-30,08.11.2022,181,June,Summer,2.5,58.883,10.992,NA,9,8,Seastore_Project,SP,leaf_piece,Kosterfjord,Sweden,1,15.95917623,0.018783412,0.2279180821,34.83843994,0,
SGO_10_Kos,515F-806R-P02-D04-SeaStore-Seq02-2022-M-RQ3-SGR-t3-1,1183F-1443R-P02-D04-SeaStore-Seq02-2022-M-RQ3-SGR-t3-1,old_leaf,Koster,2021-06-30,09.11.2022,181,June,Summer,2.5,58.883,10.992,NA,6,5,Seastore_Project,SP,leaf_piece,Kosterfjord,Sweden,1,15.95917623,0.018783412,0.2279180821,34.83843994,0,
SGO_20_Kos,515F-806R-P02-E04-SeaStore-Seq02-2022-M-RQ3-SGR-t3-2,1183F-1443R-P02-E04-SeaStore-Seq02-2022-M-RQ3-SGR-t3-2,old_leaf,Koster,2021-06-30,30.11.2022,181,June,Summer,2.5,58.883,10.992,NA,9,7,Seastore_Project,SP,leaf_piece,Kosterfjord,Sweden,1,15.95917623,0.018783412,0.2279180821,34.83843994,0,
M_RQ3_SGO_t3_1,515F-806R-P02-A06-SeaStore-Seq02-2022-M-RQ4-S-t3-2,1183F-1443R-P02-A06-SeaStore-Seq02-2022-M-RQ4-S-t3-2,old_leaf,Maasholm,2021-09-23,25.11.2021,266,September,Autumn,NA,54.687,10.007,13.6,2,4,Seastore_Project,SP,leaf_piece,Kiel Bay,Germany,6,16.89343102,0.018783412,0.2279180821,21.70870209,0,
M_RQ3_SGO_t3_2,515F-806R-P02-B06-SeaStore-Seq02-2022-M-RQ4-S-t3-3,1183F-1443R-P02-B06-SeaStore-Seq02-2022-M-RQ4-S-t3-3,old_leaf,Maasholm,2021-09-23,03.12.2021,266,September,Autumn,NA,54.687,10.007,43.5,2,5,Seastore_Project,SP,leaf_piece,Kiel Bay,Germany,6,16.89343102,0.018783412,0.2279180821,21.70870209,0,
M_RQ3_SGO_t3_3,515F-806R-P02-C06-SeaStore-Seq02-2022-M-C-S-t3-1,1183F-1443R-P02-C06-SeaStore-Seq02-2022-M-C-S-t3-1,old_leaf,Maasholm,2021-09-23,18.11.2021,266,September,Autumn,NA,54.687,10.007,21.6,3,4,Seastore_Project,SP,leaf_piece,Kiel Bay,Germany,6,16.89343102,0.018783412,0.2279180821,21.70870209,0,
M_RQ4_SGO_t3_1,515F-806R-P02-G06-SeaStore-Seq02-2022-K-D-SGO-t3-1,1183F-1443R-P02-G06-SeaStore-Seq02-2022-K-D-SGO-t3-1,old_leaf,Maasholm,2021-09-23,18.11.2021,266,September,Autumn,NA,54.687,10.007,21.5,2,4,Seastore_Project,SP,leaf_piece,Kiel Bay,Germany,6,16.89343102,0.018783412,0.2279180821,21.70870209,0,
M_RQ4_SGO_t3_2,515F-806R-P02-H06-SeaStore-Seq02-2022-K-D-SGO-t3-2,1183F-1443R-P02-H06-SeaStore-Seq02-2022-K-D-SGO-t3-2,old_leaf,Maasholm,2021-09-23,25.11.2021,266,September,Autumn,NA,54.687,10.007,22.2,2,3,Seastore_Project,SP,leaf_piece,Kiel Bay,Germany,6,16.89343102,0.018783412,0.2279180821,21.70870209,0,
M_RQ4_SGO_t3_3,515F-806R-P02-A07-SeaStore-Seq02-2022-K-D-SGO-t3-3,1183F-1443R-P02-A07-SeaStore-Seq02-2022-K-D-SGO-t3-3,old_leaf,Maasholm,2021-09-23,03.12.2021,266,September,Autumn,NA,54.687,10.007,22,3,3,Seastore_Project,SP,leaf_piece,Kiel Bay,Germany,6,16.89343102,0.018783412,0.2279180821,21.70870209,0,
K_D_SGO_t3_1,515F-806R-P02-G08-SeaStore-Seq02-2022-K-RQ2-SGR-t3-2,1183F-1443R-P02-G08-SeaStore-Seq02-2022-K-RQ2-SGR-t3-2,old_leaf,Kiel,2021-09-28,25.11.2021,271,September,Autumn,NA,54.346,10.154,59,3,3,Seastore_Project,SP,leaf_piece,Kiel Bay,Germany,8,NA,2.94E-05,0.001935417354,14.06503677,-3.64,
K_D_SGO_t3_2,515F-806R-P02-H08-SeaStore-Seq02-2022-K-RQ2-SGR-t3-3,1183F-1443R-P02-H08-SeaStore-Seq02-2022-K-RQ2-SGR-t3-3,old_leaf,Kiel,2021-09-28,10.12.2021,271,September,Autumn,NA,54.346,10.154,63.5,3,4,Seastore_Project,SP,leaf_piece,Kiel Bay,Germany,8,NA,2.94E-05,0.001935417354,14.06503677,-3.64,
K_D_SGO_t3_3,515F-806R-P02-A09-SeaStore-Seq02-2022-K-RQ3-SGO-t3-1,1183F-1443R-P02-A09-SeaStore-Seq02-2022-K-RQ3-SGO-t3-1,old_leaf,Kiel,2021-09-28,01.12.2021,271,September,Autumn,NA,54.346,10.154,52.7,3,2,Seastore_Project,SP,leaf_piece,Kiel Bay,Germany,8,NA,2.94E-05,0.001935417354,14.06503677,-3.64,
K_RQ1_SGO_t3_1,515F-806R-P02-E09-SeaStore-Seq02-2022-K-RQ3-SGR-t3-2,1183F-1443R-P02-E09-SeaStore-Seq02-2022-K-RQ3-SGR-t3-2,old_leaf,Kiel,2021-09-29,25.11.2021,272,September,Autumn,NA,54.349,10.15,23,3,3,Seastore_Project,SP,leaf_piece,Kiel Bay,Germany,8,NA,7.38E-06,3.30E-04,14.06503677,-3.64,
K_RQ1_SGO_t3_2,515F-806R-P02-F09-SeaStore-Seq02-2022-K-RQ3-SGR-t3-3,1183F-1443R-P02-F09-SeaStore-Seq02-2022-K-RQ3-SGR-t3-3,old_leaf,Kiel,2021-09-29,06.12.2021,272,September,Autumn,NA,54.349,10.15,34.5,4,4,Seastore_Project,SP,leaf_piece,Kiel Bay,Germany,8,NA,7.38E-06,3.30E-04,14.06503677,-3.64,
K_RQ1_SGO_t3_3,515F-806R-P02-G09-SeaStore-Seq02-2022-K-RQ4-SGO-t3-1,1183F-1443R-P02-G09-SeaStore-Seq02-2022-K-RQ4-SGO-t3-1,old_leaf,Kiel,2021-09-29,03.12.2021,272,September,Autumn,NA,54.349,10.15,38,5,3,Seastore_Project,SP,leaf_piece,Kiel Bay,Germany,8,NA,7.38E-06,3.30E-04,14.06503677,-3.64,
K_RQ2_SGO_t3_1,515F-806R-P02-C10-SeaStore-Seq02-2022-K-RQ4-SGR-t3-2,1183F-1443R-P02-C10-SeaStore-Seq02-2022-K-RQ4-SGR-t3-2,old_leaf,Kiel,2021-09-29,25.11.2021,272,September,Autumn,NA,54.349,10.15,31,4,4,Seastore_Project,SP,leaf_piece,Kiel Bay,Germany,8,NA,7.38E-06,3.30E-04,14.06503677,-3.64,
K_RQ2_SGO_t3_2,515F-806R-P02-D10-SeaStore-Seq02-2022-K-RQ4-SGR-t3-3,1183F-1443R-P02-D10-SeaStore-Seq02-2022-K-RQ4-SGR-t3-3,old_leaf,Kiel,2021-09-29,10.12.2021,272,September,Autumn,NA,54.349,10.15,39.5,4,4,Seastore_Project,SP,leaf_piece,Kiel Bay,Germany,8,NA,7.38E-06,3.30E-04,14.06503677,-3.64,
K_RQ2_SGO_t3_3,515F-806R-P02-E10-SeaStore-Seq02-2022-K-D-S-t3-1,1183F-1443R-P02-E10-SeaStore-Seq02-2022-K-D-S-t3-1,old_leaf,Kiel,2021-09-29,06.12.2021,272,September,Autumn,NA,54.349,10.15,34.5,4,4,Seastore_Project,SP,leaf_piece,Kiel Bay,Germany,8,NA,7.38E-06,3.30E-04,14.06503677,-3.64,
K_RQ3_SGO_t3_1,515F-806R-P02-A11-SeaStore-Seq02-2022-K-RQ1-S-t3-2,1183F-1443R-P02-A11-SeaStore-Seq02-2022-K-RQ1-S-t3-2,old_leaf,Kiel,2021-09-29,25.11.2021,272,September,Autumn,NA,54.349,10.15,36,4,4,Seastore_Project,SP,leaf_piece,Kiel Bay,Germany,8,NA,7.38E-06,3.30E-04,14.06503677,-3.64,
K_RQ3_SGO_t3_2,515F-806R-P02-B11-SeaStore-Seq02-2022-K-RQ1-S-t3-3,1183F-1443R-P02-B11-SeaStore-Seq02-2022-K-RQ1-S-t3-3,old_leaf,Kiel,2021-09-29,26.11.2021,272,September,Autumn,NA,54.349,10.15,32,5,3,Seastore_Project,SP,leaf_piece,Kiel Bay,Germany,8,NA,7.38E-06,3.30E-04,14.06503677,-3.64,
K_RQ3_SGO_t3_3,515F-806R-P02-C11-SeaStore-Seq02-2022-K-RQ2-S-t3-1,1183F-1443R-P02-C11-SeaStore-Seq02-2022-K-RQ2-S-t3-1,old_leaf,Kiel,2021-09-29,06.12.2021,272,September,Autumn,NA,54.349,10.15,27.3,3,4,Seastore_Project,SP,leaf_piece,Kiel Bay,Germany,8,NA,7.38E-06,3.30E-04,14.06503677,-3.64,
K_RQ4_SGO_t3_1,515F-806R-P02-G11-SeaStore-Seq02-2022-K-RQ3-S-t3-2,1183F-1443R-P02-G11-SeaStore-Seq02-2022-K-RQ3-S-t3-2,old_leaf,Kiel,2021-09-29,25.11.2021,272,September,Autumn,NA,54.349,10.15,28.8,3,3,Seastore_Project,SP,leaf_piece,Kiel Bay,Germany,8,NA,7.38E-06,3.30E-04,14.06503677,-3.64,
K_RQ4_SGO_t3_2,515F-806R-P02-H11-SeaStore-Seq02-2022-K-RQ3-S-t3-3,1183F-1443R-P02-H11-SeaStore-Seq02-2022-K-RQ3-S-t3-3,old_leaf,Kiel,2021-09-29,10.12.2021,272,September,Autumn,NA,54.349,10.15,34.4,3.5,3,Seastore_Project,SP,leaf_piece,Kiel Bay,Germany,8,NA,7.38E-06,3.30E-04,14.06503677,-3.64,
K_RQ4_SGO_t3_3,515F-806R-P02-A12-SeaStore-Seq02-2022-K-RQ4-S-t3-1,1183F-1443R-P02-A12-SeaStore-Seq02-2022-K-RQ4-S-t3-1,old_leaf,Kiel,2021-09-29,10.12.2021,272,September,Autumn,NA,54.349,10.15,40,5,3,Seastore_Project,SP,leaf_piece,Kiel Bay,Germany,8,NA,7.38E-06,3.30E-04,14.06503677,-3.64,
