"","root","type","kingdom","superkingdom","superphylum","phylum","class","order","family","genus","species"
"ASV4227","root","Main genome","Bacteria","Bacteria (superkingdom)","Spirochaetes superphylum","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetales_unclassified","Spirochaetales_unclassified","Spirochaetales_unclassified"
"ASV4228","root","Main genome","Bacteria","Bacteria (superkingdom)","Terrabacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Calothrix PCC-6303","Calothrix PCC-6303_unclassified"
"ASV4229","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Oxalobacteraceae_unclassified","Oxalobacteraceae_unclassified"
"ASV4230","root","Main genome","Bacteria","Bacteria (superkingdom)","Terrabacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","Caldilineaceae_unclassified","Caldilineaceae_unclassified"
"ASV4231","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobiaceae_unclassified","Rhizobiaceae_unclassified"
"ASV4232","root","Main genome","Bacteria","Bacteria (superkingdom)","FCB group","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Winogradskyella","Winogradskyella_unclassified"
"ASV4233","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonadaceae_unclassified","Sphingomonadaceae_unclassified"
"ASV4234","root","Main genome","Bacteria","Bacteria (superkingdom)","PVC group (Planctobacteria)","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiales_unclassified","Verrucomicrobiales_unclassified","Verrucomicrobiales_unclassified"
"ASV4235","root","Main genome","Bacteria","Bacteria (superkingdom)","PVC group (Planctobacteria)","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4 lineage","Pir4 lineage_unclassified"
"ASV4236","root","Main genome","Bacteria","Bacteria (superkingdom)","Terrabacteria","Firmicutes","Bacilli","Bacillales4","Marinococcaceae","Marinococcus","Marinococcus_unclassified"
"ASV4238","root","Main genome","Bacteria","Bacteria (superkingdom)","PVC group (Planctobacteria)","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae","Isosphaeraceae_unclassified","Isosphaeraceae_unclassified"
"ASV4239","root","Main genome","Bacteria","Bacteria (superkingdom)","Terrabacteria","Firmicutes","Clostridia","Oscillospirales","Hungateiclostridiaceae","UCG-012","UCG-012_unclassified"
"ASV4241","root","Main genome","Bacteria","Bacteria (superkingdom)","PVC group (Planctobacteria)","Planctomycetota","OM190","OM190_unclassified","OM190_unclassified","OM190_unclassified","OM190_unclassified"
"ASV4242","root","Main genome","Bacteria","Bacteria (superkingdom)","Acidobacteria superphylum","Acidobacteriota","Acidobateria group 26","Acidobateria group 26_unclassified","Acidobateria group 26_unclassified","Acidobateria group 26_unclassified","Acidobateria group 26_unclassified"
"ASV4243","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Alphaproteobacteria","Puniceispirillales","Puniceispirillales_unclassified","Puniceispirillales_unclassified","Puniceispirillales_unclassified"
"ASV4244","root","Main genome","Archaea","Archaea (superkingdom)","Archaea (superkingdom)_unclassified","Archaea (superkingdom)_unclassified","Archaea (superkingdom)_unclassified","Archaea (superkingdom)_unclassified","Archaea (superkingdom)_unclassified","Archaea (superkingdom)_unclassified","Archaea (superkingdom)_unclassified"
"ASV4245","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","Rhodobacteraceae_unclassified"
"ASV4246","root","Main genome","Bacteria","Bacteria (superkingdom)","FCB group","Gemmatimonadota","BD2-11 terrestrial group","BD2-11 terrestrial group_unclassified","BD2-11 terrestrial group_unclassified","BD2-11 terrestrial group_unclassified","BD2-11 terrestrial group_unclassified"
"ASV4247","root","Main genome","Bacteria","Bacteria (superkingdom)","Terrabacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcystaceae","Microcystaceae_unclassified","Microcystaceae_unclassified"
"ASV4248","root","Main genome","Bacteria","Bacteria (superkingdom)","FCB group","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Saprospiraceae_unclassified","Saprospiraceae_unclassified"
"ASV4250","root","Main genome","Bacteria","Bacteria (superkingdom)","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Marinilabiliaceae","Marinilabiliaceae_unclassified","Marinilabiliaceae_unclassified"
"ASV4251","root","Main genome","Bacteria","Bacteria (superkingdom)","Terrabacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichales_unclassified","Microtrichales_unclassified","Microtrichales_unclassified"
"ASV4252","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Halieaceae","Halioglobus","Halioglobus_unclassified"
"ASV4253","root","Main genome","Bacteria","Bacteria (superkingdom)","FCB group","Bacteroidota","Bacteroidia","Sphingobacteriales","KD3-93","KD3-93_unclassified","KD3-93_unclassified"
"ASV4254","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","Rhodobacteraceae_unclassified"
"ASV4256","root","Main genome","Bacteria","Bacteria (superkingdom)","Nitrospinae Tectomicrobia group","Modulibacteria","Moduliflexia","Moduliflexales","Moduliflexaceae","Moduliflexaceae_unclassified","Moduliflexaceae_unclassified"
"ASV4257","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Gammaproteobacteria","Enterobacterales","Kangiellaceae","Aliikangiella","Aliikangiella_unclassified"
"ASV4258","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae","Methylotenera","Methylotenera_unclassified"
"ASV4259","root","Main genome","Bacteria","Bacteria (superkingdom)","FCB group","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Maritimimonas","Maritimimonas_unclassified"
"ASV4260","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Lamprocystis","Lamprocystis_unclassified"
"ASV4261","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Algimonas","Algimonas_unclassified"
"ASV4262","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae","Cellvibrio","Cellvibrio_unclassified"
"ASV4263","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae","Desulfotalea","Desulfotalea_unclassified"
