"","root","type","kingdom","superkingdom","superphylum","phylum","class","order","family","genus","species"
"ASV9200","root","Main genome","Bacteria","Bacteria (superkingdom)","FCB group","Bacteroidota","Bacteroidia","Flavobacteriales","NS9 marine group","NS9 marine group_unclassified","NS9 marine group_unclassified"
"ASV9202","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Gammaproteobacteria","Beggiatoales","Beggiatoaceae","Thioflexothrix","Thioflexothrix_unclassified"
"ASV9203","root","Main genome","Bacteria","Bacteria (superkingdom)","Terrabacteria","Firmicutes","Clostridia","Oscillospirales","Hungateiclostridiaceae","UCG-012","UCG-012_unclassified"
"ASV9204","root","Main genome","Bacteria","Bacteria (superkingdom)","PVC group (Planctobacteria)","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula","Pirellula_unclassified"
"ASV9205","root","Main genome","Bacteria","Bacteria (superkingdom)","PVC group (Planctobacteria)","Latescibacterota","Latescibacteria","Latescibacterales","Latescibacteraceae","Latescibacteraceae_unclassified","Latescibacteraceae_unclassified"
"ASV9206","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfobacteraceae","Desulfobacteraceae_unclassified","Desulfobacteraceae_unclassified"
"ASV9208","root","Main genome","Bacteria","Bacteria (superkingdom)","Spirochaetes superphylum","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Sediminispirochaeta","Sediminispirochaeta_unclassified"
"ASV9209","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","Steroidobacteraceae_unclassified","Steroidobacteraceae_unclassified"
"ASV9210","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfobulbaceae","Desulfobulbaceae_unclassified","Desulfobulbaceae_unclassified"
"ASV9211","root","Main genome","Bacteria","Bacteria (superkingdom)","PVC group (Planctobacteria)","Verrucomicrobiota","Verrucomicrobiae","LD1-PB3","LD1-PB3_unclassified","LD1-PB3_unclassified","LD1-PB3_unclassified"
"ASV9214","root","Main genome","Bacteria","Bacteria (superkingdom)","PVC group (Planctobacteria)","Planctomycetota","OM190","OM190_unclassified","OM190_unclassified","OM190_unclassified","OM190_unclassified"
"ASV9215","root","Main genome","Bacteria","Bacteria (superkingdom)","PVC group (Planctobacteria)","Planctomycetota","Planctomycetes","Planctomycetales","Gimesiaceae","Gimesiaceae_unclassified","Gimesiaceae_unclassified"
"ASV9216","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Alphaproteobacteria","Caedibacterales","Caedibacteraceae","Caedibacteraceae_unclassified","Caedibacteraceae_unclassified"
"ASV9217","root","Main genome","Bacteria","Bacteria (superkingdom)","PVC group (Planctobacteria)","Planctomycetota","OM190","OM190_unclassified","OM190_unclassified","OM190_unclassified","OM190_unclassified"
"ASV9218","root","Main genome","Bacteria","Bacteria (superkingdom)","FCB group","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Fulvivirga","Fulvivirga_unclassified"
"ASV9222","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified"
"ASV9225","root","Main genome","Bacteria","Bacteria (superkingdom)","Terrabacteria","Gracilibacteria phylum incertae sedis","Gracilibacteria","Gracilibacteria_unclassified","Gracilibacteria_unclassified","Gracilibacteria_unclassified","Gracilibacteria_unclassified"
"ASV9226","root","Main genome","Bacteria","Bacteria (superkingdom)","Terrabacteria","Gracilibacteria phylum incertae sedis","Gracilibacteria","Gracilibacteria_unclassified","Gracilibacteria_unclassified","Gracilibacteria_unclassified","Gracilibacteria_unclassified"
"ASV9228","root","Main genome","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilaceae_unclassified","Nitrosopumilaceae_unclassified"
"ASV9229","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonadaceae_unclassified","Sphingomonadaceae_unclassified"
"ASV9231","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified"
"ASV9232","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","Rhodobacteraceae_unclassified"
"ASV9233","root","Main genome","Bacteria","Bacteria (superkingdom)","Terrabacteria","Parcubacteria","Candidatus Campbellbacteria","Candidatus Campbellbacteria_unclassified","Candidatus Campbellbacteria_unclassified","Candidatus Campbellbacteria_unclassified","Candidatus Campbellbacteria_unclassified"
"ASV9234","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Marinomonadaceae","Marinomonas","Marinomonas_unclassified"
"ASV9236","root","Main genome","Bacteria","Bacteria (superkingdom)","FCB group","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Saprospiraceae_unclassified","Saprospiraceae_unclassified"
"ASV9241","root","Main genome","Bacteria","Bacteria (superkingdom)","PVC group (Planctobacteria)","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellulaceae_unclassified","Pirellulaceae_unclassified"
"ASV9243","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Myxococcota","Polyangia","PS-B29","PS-B29_unclassified","PS-B29_unclassified","PS-B29_unclassified"
"ASV9244","root","Main genome","Bacteria","Bacteria (superkingdom)","FCB group","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagales_unclassified","Chitinophagales_unclassified","Chitinophagales_unclassified"
"ASV9245","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas_unclassified"
"ASV9246","root","Main genome","Bacteria","Bacteria (superkingdom)","PVC group (Planctobacteria)","Planctomycetota","OM190","OM190_unclassified","OM190_unclassified","OM190_unclassified","OM190_unclassified"
"ASV9247","root","Main genome","Bacteria","Bacteria (superkingdom)","Spirochaetes superphylum","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetales_unclassified","Spirochaetales_unclassified","Spirochaetales_unclassified"
"ASV9250","root","Main genome","Bacteria","Bacteria (superkingdom)","PVC group (Planctobacteria)","Latescibacterota","Latescibacteria","Latescibacterales","Latescibacteraceae","Latescibacteraceae_unclassified","Latescibacteraceae_unclassified"
"ASV9251","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae","Desulfosarcina","Desulfosarcina_unclassified"
"ASV9255","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Myxococcota","Polyangia","Polyangiales","Sandaracinaceae","Sandaracinaceae_unclassified","Sandaracinaceae_unclassified"
"ASV9257","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","Candidatus Megaira","Candidatus Megaira_unclassified"
"ASV9258","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Rhodanobacteraceae_unclassified","Rhodanobacteraceae_unclassified"
"ASV9259","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","OM27 clade","OM27 clade_unclassified"
"ASV9263","root","Main genome","Bacteria","Bacteria (superkingdom)","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes BD2-2","Bacteroidetes BD2-2_unclassified","Bacteroidetes BD2-2_unclassified"
"ASV9268","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Gammaproteobacteria","SZB50","SZB50_unclassified","SZB50_unclassified","SZB50_unclassified"
"ASV9269","root","Main genome","Bacteria","Bacteria (superkingdom)","PVC group (Planctobacteria)","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellulaceae_unclassified","Pirellulaceae_unclassified"
"ASV9271","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionaceae","Micavibrionaceae_unclassified","Micavibrionaceae_unclassified"
"ASV9272","root","Main genome","Bacteria","Bacteria (superkingdom)","PVC group (Planctobacteria)","Planctomycetota","Phycisphaerae","MSBL9572-13","MSBL9572-13_unclassified","MSBL9572-13_unclassified","MSBL9572-13_unclassified"
"ASV9273","root","Main genome","Bacteria","Bacteria (superkingdom)","PVC group (Planctobacteria)","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Pedosphaeraceae_unclassified","Pedosphaeraceae_unclassified"
"ASV9276","root","Main genome","Bacteria","Bacteria (superkingdom)","FCB group","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","Microscillaceae_unclassified","Microscillaceae_unclassified"
"ASV9278","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Myxococcota","Polyangia","VHS-B4-70","VHS-B4-70_unclassified","VHS-B4-70_unclassified","VHS-B4-70_unclassified"
"ASV9279","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Gammaproteobacteria","SZB50","SZB50_unclassified","SZB50_unclassified","SZB50_unclassified"
"ASV9281","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Myxococcota","Polyangia","VHS-B3-70","VHS-B3-70_unclassified","VHS-B3-70_unclassified","VHS-B3-70_unclassified"
"ASV9282","root","Main genome","Bacteria","Bacteria (superkingdom)","Spirochaetes superphylum","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetales_unclassified","Spirochaetales_unclassified","Spirochaetales_unclassified"
"ASV9283","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Myxococcota","Polyangia","Polyangiales","BIrii41","BIrii41_unclassified","BIrii41_unclassified"
"ASV9284","root","Main genome","Bacteria","Bacteria (superkingdom)","PVC group (Planctobacteria)","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Blastopirellula","Blastopirellula_unclassified"
"ASV9287","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae","Candidatus Endobugula","Candidatus Endobugula_unclassified"
"ASV9288","root","Main genome","Bacteria","Bacteria (superkingdom)","PVC group (Planctobacteria)","Latescibacterota","Latescibacterota_unclassified","Latescibacterota_unclassified","Latescibacterota_unclassified","Latescibacterota_unclassified","Latescibacterota_unclassified"
"ASV9289","root","Main genome","Bacteria","Bacteria (superkingdom)","FCB group","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Saprospiraceae_unclassified","Saprospiraceae_unclassified"
"ASV9292","root","Main genome","Bacteria","Bacteria (superkingdom)","PVC group (Planctobacteria)","Verrucomicrobiota","Kiritimatiellae","WCHB1-41","WCHB1-41_unclassified","WCHB1-41_unclassified","WCHB1-41_unclassified"
"ASV9293","root","Main genome","Bacteria","Bacteria (superkingdom)","Terrabacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","Staphylococcus_unclassified"
"ASV9294","root","Main genome","Bacteria","Bacteria (superkingdom)","PVC group (Planctobacteria)","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","DEV007","DEV007_unclassified","DEV007_unclassified"
"ASV9295","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified"
"ASV9296","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Campylobacterota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacteraceae_unclassified","Arcobacteraceae_unclassified"
"ASV9297","root","Main genome","Bacteria","Bacteria (superkingdom)","Terrabacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichaceae","Microtrichaceae_unclassified","Microtrichaceae_unclassified"
"ASV9298","root","Main genome","Bacteria","Bacteria (superkingdom)","PVC group (Planctobacteria)","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","DEV007","DEV007_unclassified","DEV007_unclassified"
"ASV9300","root","Main genome","Bacteria","Bacteria (superkingdom)","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes vadinHA17","Bacteroidetes vadinHA17_unclassified","Bacteroidetes vadinHA17_unclassified"
"ASV9302","root","Main genome","Bacteria","Bacteria (superkingdom)","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes BD2-2","Bacteroidetes BD2-2_unclassified","Bacteroidetes BD2-2_unclassified"
"ASV9304","root","Main genome","Bacteria","Bacteria (superkingdom)","Terrabacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Anaerolineaceae_unclassified","Anaerolineaceae_unclassified"
"ASV9306","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae","Desulfosarcinaceae_unclassified","Desulfosarcinaceae_unclassified"
"ASV9307","root","Main genome","Bacteria","Bacteria (superkingdom)","Terrabacteria","Firmicutes","Clostridia","Oscillospirales","Hungateiclostridiaceae","Ercella","Ercella_unclassified"
"ASV9308","root","Main genome","Bacteria","Bacteria (superkingdom)","Terrabacteria","Chloroflexi","Anaerolineae","SBR1031","SBR1031_unclassified","SBR1031_unclassified","SBR1031_unclassified"
"ASV9310","root","Main genome","Bacteria","Bacteria (superkingdom)","Terrabacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Cyanobacteriaceae","Geminobacterium","Geminobacterium_unclassified"
"ASV9311","root","Main genome","Bacteria","Bacteria (superkingdom)","Terrabacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","Caldilineaceae_unclassified","Caldilineaceae_unclassified"
"ASV9312","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurovaceae","Sulfurovum","Sulfurovum_unclassified"
"ASV9317","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae","Thiotrichaceae_unclassified","Thiotrichaceae_unclassified"
"ASV9318","root","Main genome","Bacteria","Bacteria (superkingdom)","FCB group","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae","Cryomorphaceae_unclassified","Cryomorphaceae_unclassified"
"ASV9320","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_unclassified","Rhizobiales_unclassified","Rhizobiales_unclassified"
"ASV9321","root","Main genome","Bacteria","Bacteria (superkingdom)","Terrabacteria","Gracilibacteria phylum incertae sedis","Gracilibacteria","JGI 0000069-P22","JGI 0000069-P22_unclassified","JGI 0000069-P22_unclassified","JGI 0000069-P22_unclassified"
"ASV9323","root","Main genome","Bacteria","Bacteria (superkingdom)","PVC group (Planctobacteria)","Planctomycetota","OM190","OM190_unclassified","OM190_unclassified","OM190_unclassified","OM190_unclassified"
"ASV9324","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Spongiibacteraceae","BD1-7 clade","BD1-7 clade_unclassified"
"ASV9325","root","Main genome","Bacteria","Bacteria (superkingdom)","Terrabacteria","Firmicutes","Clostridia","Clostridia vadinBB60 group","Clostridia vadinBB60 group_unclassified","Clostridia vadinBB60 group_unclassified","Clostridia vadinBB60 group_unclassified"
"ASV9326","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales Incertae Sedis","Rhizobiales Incertae Sedis_unclassified","Rhizobiales Incertae Sedis_unclassified"
"ASV9327","root","Main genome","Archaea","Archaea (superkingdom)","Asgard","Lokiarchaeota","Lokiarchaeota_unclassified","Lokiarchaeota_unclassified","Lokiarchaeota_unclassified","Lokiarchaeota_unclassified","Lokiarchaeota_unclassified"
"ASV9330","root","Main genome","Bacteria","Bacteria (superkingdom)","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes BD2-2","Bacteroidetes BD2-2_unclassified","Bacteroidetes BD2-2_unclassified"
"ASV9332","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae","Cellvibrionaceae_unclassified","Cellvibrionaceae_unclassified"
"ASV9333","root","Main genome","Bacteria","Bacteria (superkingdom)","PVC group (Planctobacteria)","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Blastopirellula","Blastopirellula_unclassified"
"ASV9334","root","Main genome","Bacteria","Bacteria (superkingdom)","FCB group","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Saprospiraceae_unclassified","Saprospiraceae_unclassified"
"ASV9335","root","Main genome","Bacteria","Bacteria (superkingdom)","PVC group (Planctobacteria)","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","Fuerstia","Fuerstia_unclassified"
"ASV9336","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","NB1-j","NB1-j_unclassified","NB1-j_unclassified","NB1-j_unclassified","NB1-j_unclassified","NB1-j_unclassified"
"ASV9338","root","Main genome","Bacteria","Bacteria (superkingdom)","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes vadinHA17","Bacteroidetes vadinHA17_unclassified","Bacteroidetes vadinHA17_unclassified"
"ASV9340","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionales_unclassified","Micavibrionales_unclassified","Micavibrionales_unclassified"
"ASV9345","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified"
"ASV9346","root","Main genome","Bacteria","Bacteria (superkingdom)","FCB group","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Wenyingzhuangia","Wenyingzhuangia_unclassified"
"ASV9349","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionaceae","Micavibrionaceae_unclassified","Micavibrionaceae_unclassified"
"ASV9350","root","Main genome","Bacteria","Bacteria (superkingdom)","PVC group (Planctobacteria)","Latescibacterota","Latescibacterota_unclassified","Latescibacterota_unclassified","Latescibacterota_unclassified","Latescibacterota_unclassified","Latescibacterota_unclassified"
"ASV9351","root","Main genome","Bacteria","Bacteria (superkingdom)","PVC group (Planctobacteria)","Planctomycetota","Planctomycetes","Pirellulales","Pirellulales_unclassified","Pirellulales_unclassified","Pirellulales_unclassified"
"ASV9352","root","Main genome","Archaea","Archaea (superkingdom)","TACK","Bathyarchaeota","Bathyarchaeota_unclassified","Bathyarchaeota_unclassified","Bathyarchaeota_unclassified","Bathyarchaeota_unclassified","Bathyarchaeota_unclassified"
"ASV9353","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfobacterales_unclassified","Desulfobacterales_unclassified","Desulfobacterales_unclassified"
"ASV9355","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Myxococcota","Polyangia","MidBa8","MidBa8_unclassified","MidBa8_unclassified","MidBa8_unclassified"
"ASV9357","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrionaceae_unclassified","Bdellovibrionaceae_unclassified"
"ASV9358","root","Main genome","Bacteria","Bacteria (superkingdom)","Terrabacteria","Chloroflexi","Anaerolineae","SBR1031","SBR1031_unclassified","SBR1031_unclassified","SBR1031_unclassified"
"ASV9359","root","Main genome","Bacteria","Bacteria (superkingdom)","PVC group (Planctobacteria)","Planctomycetota","Phycisphaerae","MSBL9","L21-RPul-D3","L21-RPul-D3_unclassified","L21-RPul-D3_unclassified"
"ASV9360","root","Main genome","Bacteria","Bacteria (superkingdom)","PVC group (Planctobacteria)","Planctomycetota","Phycisphaerae","MSBL9","SG8-4","SG8-4_unclassified","SG8-4_unclassified"
"ASV9361","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Desulfobacterota","Desulfobacteria","Desulfatiglandales","Desulfatiglandaceae","Desulfatiglans","Desulfatiglans_unclassified"
"ASV9364","root","Main genome","Bacteria","Bacteria (superkingdom)","FCB group","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Marinoscillum","Marinoscillum_unclassified"
"ASV9366","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae","Desulfocapsaceae_unclassified","Desulfocapsaceae_unclassified"
"ASV9367","root","Main genome","Bacteria","Bacteria (superkingdom)","PVC group (Planctobacteria)","Planctomycetota","Planctomycetes","Pirellulales","Pirellulales_unclassified","Pirellulales_unclassified","Pirellulales_unclassified"
"ASV9368","root","Main genome","Bacteria","Bacteria (superkingdom)","Terrabacteria","Cyanobacteria","Vampirivibrionia","Vampirivibrionia_unclassified","Vampirivibrionia_unclassified","Vampirivibrionia_unclassified","Vampirivibrionia_unclassified"
"ASV9369","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae","Peredibacter","Peredibacter_unclassified"
"ASV9370","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Gammaproteobacteria","Ectothiorhodospirales","Thioalkalispiraceae","Thiohalophilus","Thiohalophilus_unclassified"
"ASV9371","root","Main genome","Bacteria","Bacteria (superkingdom)","Terrabacteria","Chloroflexi","Dehalococcoidia","GIF3","GIF3_unclassified","GIF3_unclassified","GIF3_unclassified"
"ASV9374","root","Main genome","Bacteria","Bacteria (superkingdom)","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Marinilabiliaceae","Marinilabiliaceae_unclassified","Marinilabiliaceae_unclassified"
"ASV9375","root","Main genome","Bacteria","Bacteria (superkingdom)","PVC group (Planctobacteria)","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellulaceae_unclassified","Pirellulaceae_unclassified"
"ASV9376","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfobulbaceae","Desulfobulbaceae_unclassified","Desulfobulbaceae_unclassified"
"ASV9377","root","Main genome","Bacteria","Bacteria (superkingdom)","Terrabacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcystaceae","Microcystaceae_unclassified","Microcystaceae_unclassified"
"ASV9378","root","Main genome","Bacteria","Bacteria (superkingdom)","PVC group (Planctobacteria)","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellulaceae_unclassified","Pirellulaceae_unclassified"
"ASV9380","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae","Desulfosarcinaceae_unclassified","Desulfosarcinaceae_unclassified"
"ASV9382","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified"
"ASV9384","root","Main genome","Bacteria","Bacteria (superkingdom)","Spirochaetes superphylum","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta","Spirochaeta_unclassified"
"ASV9385","root","Main genome","Bacteria","Bacteria (superkingdom)","Nitrospirae superphylum","Nitrospirota","Thermodesulfovibrionia","Thermodesulfovibrionia_unclassified","Thermodesulfovibrionia_unclassified","Thermodesulfovibrionia_unclassified","Thermodesulfovibrionia_unclassified"
"ASV9389","root","Main genome","Bacteria","Bacteria (superkingdom)","PVC group (Planctobacteria)","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","Rubinisphaeraceae_unclassified","Rubinisphaeraceae_unclassified"
"ASV9390","root","Main genome","Bacteria","Bacteria (superkingdom)","Terrabacteria","Cyanobacteria","Vampirivibrionia","Vampirovibrionales","Vampirovibrionales_unclassified","Vampirovibrionales_unclassified","Vampirovibrionales_unclassified"
"ASV9396","root","Main genome","Bacteria","Bacteria (superkingdom)","PVC group (Planctobacteria)","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula","Pirellula_unclassified"
"ASV9403","root","Main genome","Bacteria","Bacteria (superkingdom)","Terrabacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_unclassified","Lachnospiraceae_unclassified"
"ASV9404","root","Main genome","Bacteria","Bacteria (superkingdom)","FCB group","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Portibacter","Portibacter_unclassified"
"ASV9405","root","Main genome","Bacteria","Bacteria (superkingdom)","Acidobacteria superphylum","Acidobacteriota","Vicinamibacteria","Acidobacteria group 9","Acidobacteria group 9_unclassified","Acidobacteria group 9_unclassified","Acidobacteria group 9_unclassified"
"ASV9407","root","Main genome","Bacteria","Bacteria (superkingdom)","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidales_unclassified","Bacteroidales_unclassified","Bacteroidales_unclassified"
"ASV9408","root","Main genome","Bacteria","Bacteria (superkingdom)","FCB group","Bacteroidota","Ignavibacteria","Ignavibacteriales","PHOS-HE36","PHOS-HE36_unclassified","PHOS-HE36_unclassified"
"ASV9409","root","Main genome","Bacteria","Bacteria (superkingdom)","Spirochaetes superphylum","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetales_unclassified","Spirochaetales_unclassified","Spirochaetales_unclassified"
"ASV9410","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","Rhodobacteraceae_unclassified"
"ASV9411","root","Main genome","Bacteria","Bacteria (superkingdom)","FCB group","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Saprospiraceae_unclassified","Saprospiraceae_unclassified"
"ASV9413","root","Main genome","Bacteria","Bacteria (superkingdom)","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes BD2-2","Bacteroidetes BD2-2_unclassified","Bacteroidetes BD2-2_unclassified"
