Sample_ID,Sample_type,Site,Extraction_date,Julian_day,Month,Season,Depth,Latitude,Longitude,Sample_date,Shoot_Length,Leaf_Width,No_Leaves,Salinity,Temperature,Dataset,Dataset_short,Dislodgment_method,Area,Country,LibrarySize_16S,Bathymetry,Richness_16S,Shannon_16S,Orbital_Velocity_from_Max,Orbital_Velocity_from_Mean,Orbital_Velocity
S8,whole plant,shaprode2,02.05.2016,244,September,Autumn,1.9,54.51144,13.14459,01.09.2015,30,3,5,NA,NA,Hiddensee_Study,HS,swabbing,Western Pomerania Lagoon National Park,Germany,29151,-1.6,669,5.618665521,0.9571334,1.1864998,Growing Season
GH2-SGO-1,old_leaf,Klosterloch,18.02.2020,203,July,Summer,2.6,54.5787,13.12525,22.07.2019,82,5,5,9.35,20.8,Seagrass_Vibrio,SV,whole_leaf,Western Pomerania Lagoon National Park,Germany,33443,-2.65,605,5.526586247,0.5695512,0.713555,Growing Season
GH2-SGO-2,old_leaf,Klosterloch,19.02.2020,203,July,Summer,2.6,54.5787,13.12525,22.07.2019,53,3,3,9.35,20.8,Seagrass_Vibrio,SV,whole_leaf,Western Pomerania Lagoon National Park,Germany,68720,-2.65,738,5.475204336,0.5695512,0.713555,Growing Season
GH2-SGO-3,old_leaf,Klosterloch,19.02.2020,203,July,Summer,2.6,54.5787,13.12525,22.07.2019,76,5,5,9.35,20.8,Seagrass_Vibrio,SV,whole_leaf,Western Pomerania Lagoon National Park,Germany,105243,-2.65,536,4.273910476,0.5695512,0.713555,Growing Season
GH2-SGO-4,old_leaf,Klosterloch,20.02.2020,203,July,Summer,2.6,54.5787,13.12525,22.07.2019,70,5,4,9.35,20.8,Seagrass_Vibrio,SV,whole_leaf,Western Pomerania Lagoon National Park,Germany,94294,-2.65,552,4.407103596,0.5695512,0.713555,Growing Season
GH2-SGY-1,young_leaf,Klosterloch,18.02.2020,203,July,Summer,2.6,54.5787,13.12525,22.07.2019,82,5,5,9.35,20.8,Seagrass_Vibrio,SV,whole_leaf,Western Pomerania Lagoon National Park,Germany,52741,-2.65,311,3.121414495,0.5695512,0.713555,Growing Season
GH2-SGY-2,young_leaf,Klosterloch,19.02.2020,203,July,Summer,2.6,54.5787,13.12525,22.07.2019,53,3,3,9.35,20.8,Seagrass_Vibrio,SV,whole_leaf,Western Pomerania Lagoon National Park,Germany,49157,-2.65,344,3.606315377,0.5695512,0.713555,Growing Season
GH2-SGY-3,young_leaf,Klosterloch,19.02.2020,203,July,Summer,2.6,54.5787,13.12525,22.07.2019,76,5,5,9.35,20.8,Seagrass_Vibrio,SV,whole_leaf,Western Pomerania Lagoon National Park,Germany,69028,-2.65,368,3.461331383,0.5695512,0.713555,Growing Season
GH2-SGY-4,young_leaf,Klosterloch,20.02.2020,203,July,Summer,2.6,54.5787,13.12525,22.07.2019,70,5,4,9.35,20.8,Seagrass_Vibrio,SV,whole_leaf,Western Pomerania Lagoon National Park,Germany,100839,-2.65,329,3.499182947,0.5695512,0.713555,Growing Season
GH8-SGO-1,old_leaf,Rassower_Strom,20.02.2020,204,July,Summer,3.4,54.569883,13.226567,23.07.2019,85,4.5,5,9.31,20.6,Seagrass_Vibrio,SV,whole_leaf,Western Pomerania Lagoon National Park,Germany,86003,-2.99,975,5.950051668,1.0412667,1.411592,Growing Season
GH8-SGO-2,old_leaf,Rassower_Strom,06.02.2020,204,July,Summer,3.4,54.569883,13.226567,23.07.2019,96,4.5,5,9.31,20.6,Seagrass_Vibrio,SV,whole_leaf,Western Pomerania Lagoon National Park,Germany,45537,-2.99,910,6.037275586,1.0412667,1.411592,Growing Season
GH8-SGO-3,old_leaf,Rassower_Strom,17.02.2020,204,July,Summer,3.4,54.569883,13.226567,23.07.2019,82,5,4,9.31,20.6,Seagrass_Vibrio,SV,swabbing,Western Pomerania Lagoon National Park,Germany,38278,-2.99,668,5.272159053,1.0412667,1.411592,Growing Season
GH8-SGO-4,old_leaf,Rassower_Strom,20.02.2020,204,July,Summer,3.4,54.569883,13.226567,23.07.2019,57,4,3,9.31,20.6,Seagrass_Vibrio,SV,whole_leaf,Western Pomerania Lagoon National Park,Germany,48910,-2.99,832,5.760064208,1.0412667,1.411592,Growing Season
GH8-SGY-1,young_leaf,Rassower_Strom,20.02.2020,204,July,Summer,3.4,54.569883,13.226567,23.07.2019,85,4.5,5,9.31,20.6,Seagrass_Vibrio,SV,whole_leaf,Western Pomerania Lagoon National Park,Germany,80983,-2.99,567,3.929955858,1.0412667,1.411592,Growing Season
GH8-SGY-2,young_leaf,Rassower_Strom,17.02.2020,204,July,Summer,3.4,54.569883,13.226567,23.07.2019,96,4.5,5,9.31,20.6,Seagrass_Vibrio,SV,swabbing,Western Pomerania Lagoon National Park,Germany,31279,-2.99,424,3.616644027,1.0412667,1.411592,Growing Season
GH8-SGY-3,young_leaf,Rassower_Strom,06.02.2020,204,July,Summer,3.4,54.569883,13.226567,23.07.2019,82,5,4,9.31,20.6,Seagrass_Vibrio,SV,whole_leaf,Western Pomerania Lagoon National Park,Germany,45289,-2.99,506,4.114385494,1.0412667,1.411592,Growing Season
GH8-SGY-4,young_leaf,Rassower_Strom,20.02.2020,204,July,Summer,3.4,54.569883,13.226567,23.07.2019,57,4,3,9.31,20.6,Seagrass_Vibrio,SV,whole_leaf,Western Pomerania Lagoon National Park,Germany,67805,-2.99,477,3.540827565,1.0412667,1.411592,Growing Season
